,Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
7110,22280014,ESP,F,1999.0,none,1861,1617.0,1925.0,wi,Serrano Leiva, Ana
7111,734187,HUN,F,1989.0,none,1861,1931.0,1925.0,wi,Tardos, Zsofia
7112,14124726,UKR,F,1994.0,none,1861,1931.0,1925.0,wi,Torosjan, Asja
7113,3836550,PER,F,2006.0,none,1861,1655.0,1747.0,wa,Vega Paucar, Emely Bachellet
7114,14167131,UKR,F,2001.0,none,1861,1614.0,1691.0,wa,Vernigora, Alexandra
7115,3002322,URU,F,1985.0,none,1861,1931.0,1925.0,wi,Vilarino, Leticia
7116,12404217,VIE,F,1989.0,none,1861,1931.0,1925.0,wi,Vo, Thi Bich Lieu
7117,4263898,GRE,F,2001.0,none,1861,1495.0,1635.0,wa,Vozinaki, Anthi - Maria
7118,1113798,POL,F,1979.0,none,1861,1759.0,1811.0,wi,Wolak, Jolanta
7119,13505904,BLR,F,1992.0,none,1861,1931.0,1925.0,wi,Zakharova, Irina
7120,5093384,IND,F,1999.0,none,1860,1931.0,1877.0,wi,Anigani Kavya,
7121,1711105,SWE,F,1994.0,none,1860,1931.0,1925.0,wi,Astrom, Linda
7122,2801227,ITA,F,2000.0,none,1860,1633.0,1925.0,wa,Baronio, Gaia
7123,943860,SRB,F,1988.0,none,1860,1931.0,1925.0,wi,Djuric, Olgica
7124,14512700,CRO,F,1992.0,none,1860,1931.0,1898.0,wa,Grguric, Daria
7125,1060724,NED,F,2008.0,none,1860,1931.0,1925.0,wa,Huang, Wendy
7126,1710117,SWE,F,1987.0,none,1860,1931.0,1925.0,wi,Krzymowska, Adriana
7127,24166162,RUS,F,1996.0,none,1860,1916.0,1925.0,wi,Kuznetsova, Polina
7128,13404202,AZE,F,1994.0,none,1860,1931.0,1925.0,wi,Mammadzada, Chinara
7129,13300733,ARM,F,1993.0,none,1860,1931.0,1925.0,wi,Margaryan, Hasmik
7130,2289296,GER,F,1990.0,none,1860,1708.0,1925.0,wa,Perez Celis, Alba
7131,4172434,RUS,F,1996.0,none,1860,1931.0,1925.0,wi,Poberezhec, Anna
7132,24653608,GER,F,1991.0,none,1860,1931.0,1925.0,wi,Raab, Helen
7133,3529681,CUB,F,2005.0,none,1860,1931.0,1925.0,wi,Rodriguez Rodriguez, Brenda Amand
7134,4184270,RUS,F,1997.0,none,1860,1847.0,1925.0,wi,Rozhenko, Diana
7135,14119978,UKR,F,1987.0,none,1860,1931.0,1925.0,wi,Rusanova, Alexandra
7136,12929395,GER,F,2000.0,none,1860,1931.0,1925.0,wi,Simon, Tessa
7137,941581,BIH,F,1989.0,none,1860,1931.0,1925.0,wi,Slijepcevic, Ranka
7138,378291,CZE,F,2001.0,none,1860,1931.0,1576.0,wa,Smajzrova, Veronika
7139,7102798,INA,F,1998.0,none,1860,1931.0,1925.0,wi,Tri Febriyanti, Widya
7140,24170054,RUS,F,1949.0,none,1860,1870.0,1890.0,wi,Volskaya, Vera
7141,344680,CZE,F,1975.0,none,1860,1737.0,1799.0,wi,Zavurkova, Monika
7142,24134252,RUS,F,1996.0,none,1860,1656.0,1686.0,wi,Zograf, Svetlana
7143,1001736,NED,F,1956.0,WIM,1859,1931.0,1925.0,wa,Belle, Erika
7144,2261367,ESP,F,1985.0,none,1859,1931.0,1925.0,wi,Benito Cabezas, Ana
7145,12400610,VIE,F,1997.0,WFM,1859,1789.0,1798.0,wi,Dao, Thi Lan Anh
7146,2090694,USA,F,2004.0,WCM,1859,1650.0,1653.0,wa,Dommalapati, Aasa
7147,1177931,POL,F,1996.0,none,1859,1931.0,1925.0,wi,Grochocinska, Urszula
7148,656240,FRA,F,1983.0,none,1859,1931.0,1925.0,wi,Hausard, Hilda
7149,3518876,CUB,F,1999.0,none,1859,1931.0,1925.0,wa,Hernandez Carmona, Zuleidy
