Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
318779,CZE,F,1987,WGM,2178,2173,2250,wa,Kulovana, Eva
325449,CZE,F,1991,WGM,2175,1931,2140,wa,Rodshtein, Tereza
302538,CZE,F,1926,WGM,2104,1931,1925,wi,Eretova, Kveta
3600270,ECU,F,1977,International_Master,2359,2304,2214,wi,Fierro Baquero, Martha L.
3603687,ECU,F,1991,WGM,2114,2162,2092,wa,Heredia Serrano, Carla
3601498,ECU,F,1988,WGM,1896,1931,1925,wi,Bravo Choez, Ana
10609970,EGY,F,1997,WGM,2182,2041,2058,wi,Wafa, Shrook
10609962,EGY,F,1998,WGM,2140,2002,2008,wa,Wafa, Shahenda
10605908,EGY,F,1994,WGM,2127,2139,2072,wi,Mona, Khaled
403512,GBR,F,1978,International_Master,2414,2391,1925,wi,Hunt, Harriet V
405094,GBR,F,1980,International_Master,2381,2317,2345,wa,Houska, Jovanka
12800619,GBR,F,1977,International_Master,2294,1931,2288,wa,Ciuksyte, Dagne
1119907,GBR,F,1985,WGM,2289,2202,2210,wa,Toma, Katarzyna
401510,GBR,F,1965,International_Master,2260,1931,1925,wi,Lalic, Susan K
6000347,GBR,F,1990,WGM,2255,1931,1925,wi,Corke, Anya S
422894,GBR,F,2001,FIDE_Master,2149,1869,1913,wa,Kalaiyalahan, Akshaya
402508,GBR,F,1957,WGM,2095,2065,1925,wa,Jackson, Sheila
402168,GBR,F,1947,WGM,2013,1931,1925,wa,Bellin, Jana M
13601377,ESP,F,1983,International_Master,2421,2361,2438,wa,Matnadze, Ana
14102463,ESP,F,1978,International_Master,2420,2406,2408,wa,Alexandrova, Olga
2219026,ESP,F,1987,International_Master,2380,2243,2248,wa,Vega Gutierrez, Sabrina
32084030,ESP,F,2000,International_Master,2328,2097,2177,wa,Garcia Martin, Marta
2204185,ESP,F,1972,WGM,2302,2103,2121,wa,Calzetta Ruiz, Monica
2200465,ESP,F,1955,FIDE_Master,2270,1931,1925,wi,Pares Vives, Natalia
3501868,ESP,F,1974,WGM,2207,2221,1925,wi,Delgado Crespo, Mairelys
4500156,EST,F,1954,WGM,2192,2117,2064,wa,Fomina, Tatyana
